event_id,timestamp,repo_type,module_name,change_type,component_type,function_category,lines_changed,files_changed,dependency_depth,shared_component,historical_failure_count,historical_change_frequency,days_since_last_failure,test_coverage_level,tests_impacted,failure_occurred,failure_severity
EVT-33C1F807,2024-01-06T08:45:56Z,microservices,ProfileService,CONFIG_CHANGE,API,profile,29,1,4,False,21,6,137,medium,18,0,none
EVT-71CF56DE,2024-01-06T09:16:35Z,microservices,AuditLogger,SERVICE_LOGIC_CHANGE,SERVICE,admin,11,1,1,False,5,4,206,high,154,0,none
EVT-FA8F6E63,2024-01-07T17:23:09Z,microservices,SearchEngine,UI_CHANGE,UI,search,176,4,0,False,5,4,287,low,2,0,none
EVT-E7D7507F,2024-01-07T03:06:11Z,monolith,InsightsProcessor,SERVICE_LOGIC_CHANGE,API,analytics,70,1,2,False,5,8,51,medium,18,1,low
EVT-8B7CFA2D,2024-01-07T04:33:11Z,monolith,SubscriptionManager,CONFIG_CHANGE,API,payment,16,1,5,False,5,5,148,high,49,0,none
EVT-D04BA590,2024-01-07T22:52:51Z,monolith,DataAggregator,CONFIG_CHANGE,SERVICE,analytics,483,7,5,False,5,10,206,high,22,0,none
EVT-FA339037,2024-01-07T13:42:54Z,microservices,QueryOptimizer,UI_CHANGE,UI,search,346,5,2,False,5,4,312,high,247,0,none
EVT-EFDB30CF,2024-01-07T15:20:00Z,monolith,TransactionProcessor,SERVICE_LOGIC_CHANGE,SERVICE,payment,96,3,3,True,5,10,147,high,396,1,medium
EVT-141801B5,2024-01-08T19:23:35Z,monolith,SupportService,SERVICE_LOGIC_CHANGE,SERVICE,misc,264,4,4,False,5,8,286,medium,36,1,high
EVT-4E99CC1C,2024-01-08T18:03:39Z,monolith,MaintenanceHandler,SERVICE_LOGIC_CHANGE,SERVICE,admin,63,1,3,False,5,8,15,medium,25,0,none
EVT-4B3780E7,2024-01-08T10:48:56Z,microservices,AutocompleteHandler,UI_CHANGE,UI,search,289,9,2,False,5,8,119,medium,27,0,none
EVT-48049105,2024-01-08T01:43:49Z,monolith,AutocompleteHandler,API_CHANGE,API,search,18,1,3,False,5,10,329,high,393,0,none
EVT-6A71D899,2024-01-08T00:07:45Z,microservices,PermissionValidator,API_CHANGE,API,auth,249,3,3,True,5,9,283,high,20,1,medium
EVT-BD2D454C,2024-01-08T07:09:01Z,microservices,NotificationPrefs,SERVICE_LOGIC_CHANGE,SERVICE,profile,98,2,1,False,29,9,331,medium,72,0,none
EVT-C1BCB00A,2024-01-08T21:55:19Z,monolith,PaymentGateway,SERVICE_LOGIC_CHANGE,SERVICE,payment,253,12,4,False,5,5,210,low,5,1,low
EVT-3E24282C,2024-01-09T15:18:35Z,microservices,TokenManager,UI_CHANGE,UI,auth,8,1,0,False,5,4,165,high,184,0,none
EVT-BF08A5D5,2024-01-09T22:24:46Z,monolith,WalletService,SERVICE_LOGIC_CHANGE,API,payment,27,1,3,False,5,4,284,medium,8,0,none
EVT-CDFA0FC8,2024-01-09T14:28:52Z,monolith,WalletService,API_CHANGE,API,payment,70,2,6,True,5,4,202,medium,35,0,none
EVT-7CC8AAE5,2024-01-09T04:54:19Z,microservices,SystemMonitor,CONFIG_CHANGE,API,admin,1071,19,4,False,5,3,175,high,32,1,high
EVT-8D3747AB,2024-01-09T22:38:12Z,monolith,PayoutController,UI_CHANGE,UI,payment,2177,39,1,True,5,8,284,medium,5,0,none
EVT-B6B56711,2024-01-09T19:07:38Z,monolith,AvatarHandler,SERVICE_LOGIC_CHANGE,SERVICE,profile,441,10,2,True,5,10,181,low,14,0,none
EVT-906ADC0B,2024-01-09T16:56:38Z,monolith,MetricsCollector,API_CHANGE,API,analytics,20,1,7,False,5,7,257,medium,13,0,none
EVT-8941C5BC,2024-01-10T08:25:37Z,microservices,UserAuthenticator,API_CHANGE,API,auth,28,1,0,True,5,5,345,high,73,0,none
EVT-73345847,2024-01-10T09:32:42Z,microservices,AnalyticsEngine,API_CHANGE,API,analytics,33,1,4,False,5,10,117,low,4,1,medium
EVT-70CDF58A,2024-01-10T10:21:09Z,monolith,PrivacyController,CONFIG_CHANGE,API,profile,18,1,9,True,5,3,227,low,5,1,medium
EVT-9BBA4847,2024-01-10T17:25:46Z,monolith,BillingService,UI_CHANGE,UI,payment,289,9,3,True,5,8,106,low,4,0,none
EVT-5C033BF7,2024-01-10T05:42:18Z,microservices,LoginHandler,API_CHANGE,API,auth,68,1,4,False,5,9,254,high,67,0,none
EVT-5989FBFD,2024-01-10T15:04:51Z,microservices,PermissionValidator,UI_CHANGE,UI,auth,38,1,4,True,5,5,209,medium,26,0,none
EVT-99B4B38E,2024-01-10T22:25:35Z,microservices,AdminConsole,UI_CHANGE,UI,admin,91,1,0,False,5,7,333,low,9,0,none
EVT-8A152718,2024-01-11T19:18:39Z,microservices,MetricsCollector,UI_CHANGE,UI,analytics,65,1,1,True,5,8,44,low,7,0,none
EVT-AC34D8CD,2024-01-11T18:16:30Z,monolith,PrivacyController,UI_CHANGE,UI,profile,19,1,3,False,5,9,285,high,50,0,none
EVT-9848908B,2024-01-11T17:57:22Z,microservices,CommonUtils,UI_CHANGE,UI,misc,98,1,2,False,5,7,231,low,14,1,medium
EVT-5815E1F9,2024-01-11T18:20:12Z,microservices,FilterService,SERVICE_LOGIC_CHANGE,SERVICE,search,48,1,1,False,38,3,196,medium,14,1,medium
EVT-88A0C0C1,2024-01-11T23:28:48Z,monolith,MetricsCollector,SERVICE_LOGIC_CHANGE,SERVICE,analytics,466,14,6,True,42,7,320,high,33,0,none
EVT-458CA084,2024-01-11T00:30:02Z,monolith,SupportService,UI_CHANGE,UI,misc,401,19,3,True,5,4,115,high,41,0,none
EVT-A3F01262,2024-01-11T08:03:36Z,microservices,UtilityService,SERVICE_LOGIC_CHANGE,SERVICE,misc,142,3,1,True,5,9,196,low,58,0,none
EVT-04ABFC1E,2024-01-12T18:13:40Z,microservices,SharedLibrary,CONFIG_CHANGE,SERVICE,misc,83,1,2,False,5,9,96,medium,24,0,none
EVT-08FAE494,2024-01-12T10:12:26Z,monolith,NotificationPrefs,API_CHANGE,API,profile,363,4,2,True,5,8,110,medium,13,0,none
EVT-4A931D53,2024-01-12T13:41:12Z,microservices,CredentialStore,API_CHANGE,API,auth,9,1,2,False,5,4,222,medium,30,0,none
EVT-34639D08,2024-01-12T13:47:39Z,microservices,RefundHandler,SERVICE_LOGIC_CHANGE,API,payment,360,6,2,True,5,4,209,medium,36,0,none
EVT-CB574483,2024-01-12T07:17:58Z,monolith,IndexManager,API_CHANGE,API,search,39,1,4,False,5,9,224,low,13,0,none
EVT-FD694F35,2024-01-12T05:41:32Z,microservices,UserAuthenticator,SERVICE_LOGIC_CHANGE,API,auth,70,1,1,False,5,10,105,high,187,1,low
EVT-AE3DA691,2024-01-12T05:56:52Z,monolith,WalletService,API_CHANGE,API,payment,55,1,3,True,5,4,329,medium,37,0,none
EVT-6BF2388D,2024-01-13T13:06:29Z,monolith,AccountSettings,UI_CHANGE,UI,profile,21,1,6,False,5,5,327,medium,36,0,none
EVT-B5D6A984,2024-01-13T23:23:26Z,microservices,DataAggregator,API_CHANGE,API,analytics,69,1,2,False,5,10,351,low,1,1,low
EVT-86691833,2024-01-13T13:46:32Z,monolith,SharedLibrary,UI_CHANGE,UI,misc,65,2,6,True,5,5,130,medium,29,0,none
EVT-3DF26294,2024-01-13T16:21:24Z,microservices,NotificationPrefs,SERVICE_LOGIC_CHANGE,SERVICE,profile,368,5,4,True,47,3,229,high,44,0,none
EVT-78316E22,2024-01-13T07:28:19Z,microservices,BillingService,UI_CHANGE,UI,payment,46,1,1,True,5,6,317,medium,34,1,medium
EVT-644FFC1E,2024-01-13T13:44:34Z,microservices,RefundHandler,SERVICE_LOGIC_CHANGE,API,payment,94,1,2,True,5,3,68,medium,119,0,none
EVT-9FE2F7C3,2024-01-13T13:06:04Z,microservices,BaseController,API_CHANGE,API,misc,76,1,0,True,5,7,209,medium,10,1,low
EVT-E8E7269D,2024-01-14T01:32:52Z,microservices,CredentialStore,API_CHANGE,API,auth,91,2,2,True,5,8,290,high,65,0,none
EVT-3462903E,2024-01-14T15:39:01Z,monolith,TransactionProcessor,SERVICE_LOGIC_CHANGE,API,payment,1330,28,2,True,51,9,311,high,23,0,none
EVT-CE002E92,2024-01-14T03:28:37Z,monolith,AvatarHandler,UI_CHANGE,UI,profile,314,9,4,True,5,9,260,medium,86,0,none
EVT-59D1E205,2024-01-14T18:24:11Z,monolith,QueryOptimizer,SERVICE_LOGIC_CHANGE,SERVICE,search,57,1,3,False,5,7,315,medium,32,0,none
EVT-9922E07E,2024-01-14T04:39:25Z,monolith,WalletService,SERVICE_LOGIC_CHANGE,API,payment,85,4,2,False,5,6,122,medium,14,1,medium
EVT-38BD269F,2024-01-14T14:46:53Z,monolith,ProfileService,API_CHANGE,API,profile,89,2,9,False,5,3,110,high,81,0,none
EVT-E5F7AB4E,2024-01-15T04:36:56Z,microservices,ProfileService,API_CHANGE,API,profile,33,2,1,False,5,10,171,medium,32,0,none
EVT-221E9D28,2024-01-15T17:02:48Z,monolith,EventTracker,SERVICE_LOGIC_CHANGE,API,analytics,33,1,1,False,53,6,306,medium,6,0,none
EVT-75AE57A0,2024-01-15T12:01:10Z,microservices,SubscriptionManager,API_CHANGE,API,payment,71,1,3,False,5,6,239,low,0,0,none
EVT-9363B1AE,2024-01-15T21:13:17Z,monolith,SessionController,UI_CHANGE,UI,auth,77,2,3,True,5,7,357,low,15,0,none
EVT-83DBEF81,2024-01-15T05:50:39Z,monolith,UserAuthenticator,UI_CHANGE,UI,auth,59,1,3,True,6,4,314,low,5,1,medium
EVT-F1913CF5,2024-01-15T18:05:25Z,microservices,PaymentGateway,API_CHANGE,API,payment,83,3,0,False,6,9,283,medium,13,0,none
EVT-671E1B10,2024-01-15T20:22:37Z,monolith,IndexManager,API_CHANGE,API,search,73,1,3,False,6,8,170,medium,36,0,none
EVT-BB7D7236,2024-01-16T13:52:29Z,microservices,UserAuthenticator,CONFIG_CHANGE,SERVICE,auth,286,4,0,True,6,3,79,high,44,1,medium
EVT-D70BA19B,2024-01-16T02:56:51Z,monolith,CoreModule,API_CHANGE,API,misc,71,1,1,True,6,7,271,medium,35,0,none
EVT-A602385D,2024-01-16T06:43:12Z,microservices,MetricsCollector,SERVICE_LOGIC_CHANGE,API,analytics,51,1,3,False,6,9,235,low,9,0,none
EVT-80A53D37,2024-01-16T14:50:34Z,monolith,SearchEngine,SERVICE_LOGIC_CHANGE,SERVICE,search,239,6,7,False,6,9,227,medium,26,0,none
EVT-80D3378F,2024-01-16T10:17:44Z,microservices,UserPreferences,SERVICE_LOGIC_CHANGE,SERVICE,profile,29,1,1,False,6,6,146,low,91,0,none
EVT-849C7933,2024-01-16T17:29:23Z,monolith,PaymentGateway,CONFIG_CHANGE,SERVICE,payment,37,1,10,False,6,4,191,medium,107,1,medium
EVT-9D566E36,2024-01-16T16:54:52Z,monolith,AuthService,SERVICE_LOGIC_CHANGE,API,auth,68,1,4,False,59,5,201,high,36,0,none
EVT-CF4EFFF2,2024-01-17T12:47:11Z,microservices,SearchEngine,UI_CHANGE,UI,search,67,1,0,False,6,8,138,high,33,0,none
EVT-C8D99E36,2024-01-17T05:59:40Z,microservices,SupportService,UI_CHANGE,UI,misc,56,1,1,True,6,6,301,low,12,0,none
EVT-980B944B,2024-01-17T23:22:45Z,microservices,SubscriptionManager,SERVICE_LOGIC_CHANGE,SERVICE,payment,32,1,2,True,6,10,324,high,52,0,none
EVT-5754D060,2024-01-17T22:33:43Z,monolith,CacheManager,SERVICE_LOGIC_CHANGE,API,search,99,1,3,False,60,6,201,low,7,0,none
EVT-85DBF789,2024-01-17T11:18:24Z,monolith,SupportService,UI_CHANGE,UI,misc,31,1,3,True,6,5,296,high,43,0,none
EVT-4A39CA7B,2024-01-17T07:29:19Z,microservices,IndexManager,API_CHANGE,API,search,87,2,2,False,6,10,69,low,10,1,medium
EVT-EA0CC4F3,2024-01-17T08:48:24Z,microservices,WalletService,SERVICE_LOGIC_CHANGE,SERVICE,payment,481,7,6,True,6,5,163,high,71,1,low
EVT-DDF126F4,2024-01-18T20:14:54Z,microservices,QueryOptimizer,SERVICE_LOGIC_CHANGE,API,search,379,11,1,True,6,2,361,medium,24,0,none
EVT-E4BAEEA8,2024-01-18T11:42:43Z,microservices,TrendAnalyzer,SERVICE_LOGIC_CHANGE,SERVICE,analytics,8,1,2,False,6,7,212,medium,14,0,none
EVT-218DD435,2024-01-18T08:28:58Z,microservices,OAuthProvider,API_CHANGE,API,auth,468,12,2,True,6,2,274,medium,14,0,none
EVT-14C2B4E3,2024-01-18T17:28:32Z,microservices,SubscriptionManager,UI_CHANGE,UI,payment,474,22,2,True,6,2,338,medium,40,1,medium
EVT-4BEE15DF,2024-01-18T16:41:48Z,microservices,AdminConsole,SERVICE_LOGIC_CHANGE,API,admin,423,26,1,True,6,2,141,medium,24,0,none
EVT-849C77C2,2024-01-18T07:05:35Z,monolith,FacetProcessor,API_CHANGE,API,search,30,1,3,False,6,5,19,medium,5,0,none
EVT-7D511A98,2024-01-18T01:16:08Z,monolith,QueryOptimizer,UI_CHANGE,UI,search,13,1,4,True,6,3,22,low,15,0,none
EVT-865FE933,2024-01-19T12:48:49Z,monolith,LoginHandler,SERVICE_LOGIC_CHANGE,SERVICE,auth,357,5,6,False,6,4,252,medium,75,0,none
EVT-7F0B9F83,2024-01-19T04:44:13Z,microservices,GenericHandler,SERVICE_LOGIC_CHANGE,SERVICE,misc,86,1,0,True,6,10,23,low,14,0,none
EVT-E35B5966,2024-01-19T11:34:10Z,monolith,SessionController,CONFIG_CHANGE,API,auth,97,2,4,False,6,6,203,medium,29,0,none
EVT-B9D7471F,2024-01-19T19:17:18Z,microservices,TransactionProcessor,CONFIG_CHANGE,SERVICE,payment,29,1,5,True,6,7,30,low,5,0,none
EVT-685A729C,2024-01-19T05:50:42Z,microservices,OAuthProvider,SERVICE_LOGIC_CHANGE,API,auth,24,1,1,False,6,8,345,high,112,0,none
EVT-797263E8,2024-01-19T20:20:15Z,monolith,OAuthProvider,UI_CHANGE,UI,auth,55,1,6,True,6,5,61,medium,19,0,none
EVT-A8CC164D,2024-01-19T14:23:21Z,microservices,TokenManager,API_CHANGE,API,auth,225,5,2,True,6,4,211,medium,119,0,none
EVT-174BC4ED,2024-01-20T09:13:01Z,microservices,AvatarHandler,SERVICE_LOGIC_CHANGE,SERVICE,profile,332,10,0,True,6,4,165,low,9,1,low
EVT-B099D4BA,2024-01-20T23:38:09Z,microservices,CommonUtils,API_CHANGE,API,misc,32,1,1,False,6,6,298,low,13,1,medium
EVT-9921AB58,2024-01-20T13:25:09Z,microservices,SessionController,API_CHANGE,API,auth,150,3,0,False,6,7,359,high,192,1,low
EVT-467CCE37,2024-01-20T00:49:58Z,monolith,AuditLogger,SERVICE_LOGIC_CHANGE,SERVICE,admin,383,9,1,False,6,6,273,medium,77,0,none
EVT-28C1BB3F,2024-01-20T07:25:21Z,microservices,BaseController,CONFIG_CHANGE,SERVICE,misc,581,8,2,False,6,3,15,low,21,0,none
EVT-1AC3B1D2,2024-01-20T05:54:52Z,monolith,RoleController,API_CHANGE,API,admin,296,5,6,False,6,2,221,low,13,0,none
EVT-75813D82,2024-01-21T04:14:40Z,microservices,PermissionValidator,API_CHANGE,API,auth,64,3,2,False,6,5,223,low,11,0,none
EVT-A8CA033C,2024-01-21T04:17:30Z,monolith,DashboardService,SERVICE_LOGIC_CHANGE,API,analytics,99,2,3,False,6,7,338,medium,36,0,none
EVT-07349BE3,2024-01-21T09:04:35Z,monolith,PermissionValidator,SERVICE_LOGIC_CHANGE,API,auth,452,7,9,True,6,7,246,medium,100,0,none
EVT-30A8E40F,2024-01-21T12:08:28Z,microservices,FilterService,API_CHANGE,API,search,6,1,2,False,6,10,316,medium,13,1,low
EVT-B842A767,2024-01-21T14:17:48Z,monolith,IndexManager,SERVICE_LOGIC_CHANGE,API,search,9,1,6,False,6,2,116,low,8,1,medium
EVT-23813D0B,2024-01-21T07:14:14Z,monolith,RankingAlgorithm,UI_CHANGE,UI,search,260,17,2,False,78,5,255,high,23,0,none
EVT-03311B9C,2024-01-21T14:22:11Z,microservices,LoginHandler,SERVICE_LOGIC_CHANGE,API,auth,480,6,1,True,6,2,21,low,6,1,medium
EVT-EEC479F4,2024-01-22T04:39:02Z,microservices,OAuthProvider,CONFIG_CHANGE,API,auth,493,7,2,False,6,3,25,high,277,1,medium
EVT-01BF50C5,2024-01-22T23:13:25Z,microservices,SubscriptionManager,SERVICE_LOGIC_CHANGE,SERVICE,payment,52,1,2,True,6,9,196,low,1,1,medium
EVT-C7747343,2024-01-22T09:08:06Z,microservices,AuditLogger,UI_CHANGE,UI,admin,299,6,0,False,6,4,319,medium,40,0,none
EVT-51DD6E6A,2024-01-22T11:45:37Z,monolith,SupportService,UI_CHANGE,UI,misc,226,7,2,False,6,4,307,high,91,0,none
EVT-129315AC,2024-01-22T04:03:10Z,monolith,HelperFunctions,SERVICE_LOGIC_CHANGE,API,misc,79,3,4,True,6,4,72,low,23,0,none
EVT-97759B28,2024-01-22T18:23:22Z,monolith,RefundHandler,SERVICE_LOGIC_CHANGE,SERVICE,payment,312,5,6,True,6,4,10,high,155,0,none
EVT-D1F6C749,2024-01-22T20:09:24Z,monolith,ProfileValidator,API_CHANGE,API,profile,48,1,3,False,6,3,100,medium,16,1,low
EVT-1BDA384D,2024-01-23T20:39:06Z,monolith,UserManager,UI_CHANGE,UI,admin,70,1,9,True,6,2,263,medium,21,0,none
EVT-2A39008F,2024-01-23T22:58:45Z,monolith,NotificationPrefs,SERVICE_LOGIC_CHANGE,SERVICE,profile,339,4,5,True,6,6,359,medium,5,0,none
EVT-18B51E58,2024-01-23T21:23:00Z,microservices,BillingService,SERVICE_LOGIC_CHANGE,API,payment,97,2,1,False,6,6,44,medium,80,0,none
EVT-8E65467E,2024-01-23T05:57:10Z,monolith,ProfileValidator,SERVICE_LOGIC_CHANGE,API,profile,8,1,6,False,6,9,239,high,253,0,none
EVT-04797CB0,2024-01-23T04:11:05Z,monolith,SubscriptionManager,SERVICE_LOGIC_CHANGE,SERVICE,payment,45,1,9,True,6,6,364,low,1,0,none
EVT-6BFEE8FC,2024-01-23T03:43:02Z,microservices,BaseController,UI_CHANGE,UI,misc,46,1,0,True,6,10,363,low,3,1,low
EVT-DC6FA9FB,2024-01-23T16:49:13Z,monolith,CoreModule,CONFIG_CHANGE,SERVICE,misc,19,1,3,True,6,3,214,medium,26,1,low
EVT-2123396E,2024-01-24T23:05:35Z,monolith,CoreModule,API_CHANGE,API,misc,12,1,9,True,6,5,51,medium,71,1,high
EVT-327753FF,2024-01-24T22:03:13Z,microservices,TransactionProcessor,SERVICE_LOGIC_CHANGE,API,payment,39,1,1,False,6,3,128,medium,43,0,none
EVT-2B430EC6,2024-01-24T14:48:29Z,monolith,ProfileService,API_CHANGE,API,profile,16,1,10,True,6,8,256,high,204,1,low
EVT-B1D17FE0,2024-01-24T13:35:12Z,microservices,RankingAlgorithm,API_CHANGE,API,search,449,23,2,False,91,8,55,medium,50,0,none
EVT-80307773,2024-01-24T19:33:49Z,microservices,RefundHandler,SERVICE_LOGIC_CHANGE,SERVICE,payment,75,1,0,True,90,10,48,medium,26,0,none
EVT-5FD11272,2024-01-24T05:58:24Z,microservices,BaseController,API_CHANGE,API,misc,340,11,3,True,6,5,37,low,35,0,none
EVT-67ACF906,2024-01-24T20:45:35Z,microservices,RefundHandler,CONFIG_CHANGE,API,payment,2469,30,1,True,6,3,312,high,70,0,none
EVT-1D254008,2024-01-25T19:53:05Z,monolith,PayoutController,API_CHANGE,API,payment,377,6,1,False,6,10,281,medium,8,0,none
EVT-421645C2,2024-01-25T13:33:23Z,monolith,EventTracker,SERVICE_LOGIC_CHANGE,SERVICE,analytics,494,19,2,False,6,6,168,high,40,1,medium
EVT-C83D5206,2024-01-25T13:53:55Z,monolith,NotificationPrefs,SERVICE_LOGIC_CHANGE,API,profile,77,1,6,False,91,10,72,low,12,1,low
EVT-C844DBB6,2024-01-25T13:19:29Z,microservices,PaymentGateway,SERVICE_LOGIC_CHANGE,API,payment,177,7,2,True,6,10,234,medium,22,0,none
EVT-2A515176,2024-01-25T07:22:07Z,monolith,AvatarHandler,API_CHANGE,API,profile,52,1,3,False,6,8,328,high,392,0,none
EVT-F9BE4D3F,2024-01-25T19:25:23Z,microservices,FacetProcessor,API_CHANGE,API,search,27,1,3,True,95,6,337,low,38,1,high
EVT-6E316555,2024-01-25T11:19:55Z,microservices,PaymentGateway,API_CHANGE,API,payment,99,2,2,False,6,9,184,medium,27,1,medium
EVT-6BF3A9CB,2024-01-26T06:01:24Z,monolith,RefundHandler,API_CHANGE,API,payment,11,1,6,False,6,5,246,low,15,0,none
EVT-F501E825,2024-01-26T14:25:32Z,monolith,CommonUtils,SERVICE_LOGIC_CHANGE,API,misc,74,1,3,True,6,3,254,low,3,0,none
EVT-7FA756D3,2024-01-26T07:35:47Z,monolith,FacetProcessor,UI_CHANGE,UI,search,425,22,5,False,97,6,238,high,74,0,none
EVT-20096187,2024-01-26T17:31:31Z,microservices,RefundHandler,UI_CHANGE,UI,payment,92,3,0,True,6,9,247,low,8,0,none
EVT-4C04A2A4,2024-01-26T11:14:26Z,monolith,LoginHandler,SERVICE_LOGIC_CHANGE,SERVICE,auth,79,2,6,True,6,6,172,high,71,1,low
